DateTimeLog	IP	TrackerID	Type	DateTimePosition	Valid	NbSat	Latitude	Longitude	Accuracy	Speed	Heading
2018/12/16 17:19:30	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:19:30	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:21:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:21:59	0	0	0	-0	0	0	0
2018/12/16 17:24:30	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:24:30	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:24:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:24:59	0	0	0	-0	0	0	0
2018/12/16 17:27:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:27:59	0	0	0	-0	0	0	0
2018/12/16 17:29:30	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:29:30	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:31:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:31:00	0	0	0	-0	0	0	0
2018/12/16 17:33:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:33:59	0	0	0	-0	0	0	0
2018/12/16 17:34:31	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:34:31	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:36:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:36:59	0	0	0	-0	0	0	0
2018/12/16 17:39:32	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:39:32	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:39:59	37.169.120.251	359339075016807	GPS	2018/12/16 17:39:59	0	0	0	-0	0	0	0
2018/12/16 17:43:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:43:00	0	0	0	-0	0	0	0
2018/12/16 17:44:32	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:44:32	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:46:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:46:00	0	0	0	-0	0	0	0
2018/12/16 17:49:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:49:00	0	0	0	-0	0	0	0
2018/12/16 17:49:34	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:49:34	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:52:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:52:00	0	0	0	-0	0	0	0
2018/12/16 17:54:33	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 17:54:33	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 17:55:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:55:00	0	0	0	-0	0	0	0
2018/12/16 17:58:00	37.169.120.251	359339075016807	GPS	2018/12/16 17:58:00	0	0	0	-0	0	0	0
2018/12/16 18:00:15	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 18:00:15	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 18:01:00	37.169.120.251	359339075016807	GPS	2018/12/16 18:01:00	0	0	0	-0	0	0	0
2018/12/16 18:04:00	37.169.120.251	359339075016807	GPS	2018/12/16 18:04:00	0	0	0	-0	0	0	0
2018/12/16 18:04:35	37.169.120.251	359339075016807	LBS-GSM	2018/12/16 18:04:35	1	NA	48.7954753	2.3594	519	NA	NA
2018/12/16 18:07:00	37.169.120.251	359339075016807	GPS	2018/12/16 18:07:00	0	0	0	-0	0	0	0
